select_rubrique;select_co_rub;rubrique;co_rub
avocats postulant à la cour;000010;avocats;064460
médecins andrologues;000020;hôpitaux;416380
médecins andrologues;000020;médecins radiologues;519820
médecins andrologues;000020;centres médico-sociaux;151260
médecins andrologues;000020;médecins généralistes;518370
médecins andrologues;000020;chirurgiens orthopédistes;518820
médecins andrologues;000020;médecins psychiatres;519770
médecins andrologues;000020;médecins cardiologues, angiologues;518720
médecins andrologues;000020;médecins dermatologues;518860
médecins andrologues;000020;médecins gastro-entérologues, hépatologues;518990
médecins andrologues;000020;médecins pédiatres;519630
médecins andrologues;000020;médecins ORL;519560
médecins andrologues;000020;chirurgiens urologues;518850
médecins andrologues;000020;chirurgiens viscéral et digestif;518900
médecins andrologues;000020;médecins psychiatres enfants et adolescents;519800
médecins andrologues;000020;médecins sexologues;000400
médecins andrologues;000020;médecins endocrinologues, diabétologues, maladies métaboliques;518980
médecins andrologues;000020;médecins neurologues;519350
médecins andrologues;000020;médecins anesthésistes, réanimateurs;518510
médecins andrologues;000020;médecins : médecine physique et de réadaptation;519910
médecins andrologues;000020;médecins : médecine interne;519140
médecins andrologues;000020;médecins généralistes : traitement de la douleur;518970
médecins andrologues;000020;chirurgiens pédiatriques;518770
médecins cancérologues;000030;hôpitaux;416380
médecins cancérologues;000030;médecins radiologues;519820
médecins cancérologues;000030;chirurgiens orthopédistes;518820
médecins cancérologues;000030;médecins gynécologues, obstétriciens;519070
médecins cancérologues;000030;médecins cardiologues, angiologues;518720
médecins cancérologues;000030;médecins gastro-entérologues, hépatologues;518990
médecins cancérologues;000030;médecins pédiatres;519630
médecins cancérologues;000030;médecins ORL;519560
médecins cancérologues;000030;médecins gériatres, gérontologues;518920
médecins cancérologues;000030;chirurgiens viscéral et digestif;518900
médecins cancérologues;000030;médecins pneumologues;519730
médecins cancérologues;000030;médecins neurologues;519350
médecins cancérologues;000030;médecins oncologues, radiothérapeutes;519870
médecins cancérologues;000030;médecins oncologues;000090
médecins cancérologues;000030;médecins : médecine interne;519140
médecins cancérologues;000030;médecins : médecine tropicale et pathologies infectieuses;519190
médecins cancérologues;000030;médecins hématologues;519090
médecins cancérologues;000030;médecins biologistes;518650
médecins cancérologues;000030;médecins : soins palliatifs;000580
médecins cancérologues;000030;médecins : génétique médicale;518500
médecins cancérologues;000030;laboratoires d'anatomie et cytologie pathologiques humaines;456600
chambres d'hôtes;000060;tables d'hôtes;000811
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
conseils départementaux, conseils régionaux;000070;conseils généraux, conseils régionaux;000070
location de bateaux;000079;ski nautique, wakeboard (clubs);000882
location de bateaux;000079;randonnées en traîneaux;000673
transport touristique en autocars;000080;transport en commun;345810
transport touristique en autocars;000080;location de minibus;900920
transport touristique en autocars;000080;transport scolaire;850990
transport touristique en autocars;000080;gares routières;390320
transport touristique en autocars;000080;organisation de week-ends;000880
location de canoës-kayaks;000081;clubs de canoë-kayak;903010
location de canoës-kayaks;000081;location de planches à voile;000082
location de planches à voile;000082;location de vélos;001008
location de planches à voile;000082;location de canoës-kayaks;000081
location de planches à voile;000082;sports nautiques (clubs);000578
location de planches à voile;000082;voile (écoles);000592
location de planches à voile;000082;planches à voile (matériel);624200
fitness (clubs);000084;clubs de forme;202460
fitness (clubs);000084;musculation (salles);000581
flamenco (cours);000087;danse (cours);261170
flippers;000088;billards (fabrication);084820
flippers;000088;jeux pour cafés, casinos (vente, location, entretien);448300
flippers;000088;baby-foot;001209
apprentissage;000089;formation continue;372900
apprentissage;000089;formation professionnelle;000634
apprentissage;000089;enseignement notarial;000681
apprentissage;000089;écoles d'architecture;000637
médecins oncologues;000090;cliniques;199520
médecins oncologues;000090;hôpitaux;416380
médecins oncologues;000090;médecins radiologues;519820
médecins oncologues;000090;maisons de retraite, foyers-logements publics;495170
médecins oncologues;000090;maternités;199450
médecins oncologues;000090;chirurgiens orthopédistes;518820
médecins oncologues;000090;médecins gynécologues, obstétriciens;519070
médecins oncologues;000090;médecins cardiologues, angiologues;518720
médecins oncologues;000090;médecins gastro-entérologues, hépatologues;518990
médecins oncologues;000090;médecins pédiatres;519630
médecins oncologues;000090;médecins ORL;519560
médecins oncologues;000090;chirurgiens urologues;518850
médecins oncologues;000090;médecins gériatres, gérontologues;518920
médecins oncologues;000090;chirurgiens viscéral et digestif;518900
médecins oncologues;000090;médecins pneumologues;519730
médecins oncologues;000090;médecins neurologues;519350
médecins oncologues;000090;médecins cancérologues;000030
médecins oncologues;000090;médecins oncologues, radiothérapeutes;519870
médecins oncologues;000090;médecins hématologues;519090
médecins oncologues;000090;médecins : soins palliatifs;000580
médecins oncologues;000090;médecins : génétique médicale;518500
médecins oncologues;000090;laboratoires d'anatomie et cytologie pathologiques humaines;456600
conserveries alimentaires;000100;traiteurs;789300
chauffeurs d'automobiles;000120;location d'automobiles avec chauffeur;476460
bijouterie;000140;horlogerie (réparation);416690
bijouterie;000140;bijouterie (transformation, réparation);000780
bijouterie;000140;joaillerie;449800
bijouterie;000140;joaillerie (création, transformation);448780
bijouterie;000140;montres (vente);001071
bijouterie;000140;diamants, pierres précieuses, gemmes;281510
bijouterie;000140;graveurs sur bijoux, médailles;404400
bijouterie;000140;bijoutiers (fabrication, gros);083210
bijouterie;000140;joaillerie (sertissage, polissage, guillochage);449500
photographes industriels;000160;photographes de portraits;612000
photographes industriels;000160;photographes de reportage;612280
photographes publicitaires;000170;photographes de mode;850038
centres autos, entretien rapide;000220;garages automobiles;388310
centres autos, entretien rapide;000220;pneus (vente, montage);631950
centres autos, entretien rapide;000220;pneus (rechapage, recreusage, réparation);631900
centres autos, entretien rapide;000220;alternateurs;850332
centres autos, entretien rapide;000220;embrayages;850197
centres autos, entretien rapide;000220;amortisseurs;850333
centres autos, entretien rapide;000220;informatique discount;000633
centres d'appels (prestataires);000230;permanence téléphonique;605230
montgolfières;000260;publicité aérienne;666070
acier : produits sidérurgiques, transformés;000270;acier : produits sidérurgiques, transformés (fabrication, négoce);000270
acier : produits sidérurgiques, transformés;000270;acier : produits sidérurgiques, transformés (fabrication, négoce);000270
acier : produits sidérurgiques, transformés;000270;acier : produits sidérurgiques, transformés (fabrication, négoce);000270
acier : produits sidérurgiques, transformés;000270;acier : produits sidérurgiques, transformés (fabrication, négoce);000270
Internet : fournisseurs d'accès;000300;téléphonie (vente);674700
Internet : fournisseurs d'accès;000300;information par téléphone;432450
Internet : création de sites, hébergement;000310;e-commerce : solutions, conseils;900600
Internet : création de sites, hébergement;000310;web marketing;901020
Internet : création de sites, hébergement;000310;Internet : logiciels, outils de développement;850600
Internet : création de sites, hébergement;000310;Internet : référencement de sites;850290
Internet : création de sites, hébergement;000310;web design;000950
Internet : création de sites, hébergement;000310;Internet : réservation de noms de domaines;900810
Internet : création de sites, hébergement;000310;marketing mobile;001204
Internet : création de sites, hébergement;000310;journalistes professionnels;452120
parcs animaliers, parcs zoologiques;000370;stades;000584
médecins échographistes;000380;médecins radiologues;519820
médecins échographistes;000380;centres de radiologie, d'imagerie médicale;001044
médecins échographistes;000380;médecins généralistes : échographie;000380
