CO_RUB;activite;top_zu
10;avocats postulant à la cour;0
20;médecins andrologues;0
30;médecins cancérologues;0
40;cures thermales;1
50;gîtes;0
60;chambres d'hôtes;0
70;conseils départementaux, conseils régionaux;1
79;location de bateaux;1
80;transport touristique en autocars;1
81;location de canoës-kayaks;0
82;location de planches à voile;0
83;fermes pédagogiques;1
84;fitness (clubs);0
86;pêche (pratique);0
87;flamenco (cours);0
88;flippers;1
89;apprentissage;0
90;médecins oncologues;0
100;conserveries alimentaires;1
110;planification familiale (centres, information);0
120;chauffeurs d'automobiles;1
140;bijouterie;0
160;photographes industriels;1
170;photographes publicitaires;1
220;centres autos, entretien rapide;1
230;centres d'appels (prestataires);1
240;fruits et légumes frais (expédition, exportation);0
250;abat-jour;0
260;montgolfières;1
270;acier : produits sidérurgiques, transformés;1
280;représentants;0
290;agences, agents commerciaux;1
300;Internet : fournisseurs d'accès;0
310;Internet : création de sites, hébergement;1
320;télécommunications (consultants);0
330;médecine du travail;0
350;abat-jour et fournitures (fabrication);0
360;apprentissage, formation professionnelle;0
370;parcs animaliers, parcs zoologiques;1
380;médecins échographistes;0
390;médecins : médecine manuelle, ostéopathie;0
400;médecins sexologues;0
410;médecins tabacologues;0
420;dialyse (centres);0
430;matériel d'occasion (achat, revente);1
440;matériel d'occasion pour professionnels;0
450;jeux vidéo;0
460;palettes de manutention;1
470;plages privées;0
480;lycées d'enseignement général et technologique privés;0
490;arts graphiques, arts plastiques (cours);0
500;lycées professionnels privés;0
510;lycées d'enseignement général et technologique publics;0
520;lycées professionnels publics;0
530;lycées agricoles publics;0
540;lycées agricoles privés;0
550;maisons familiales rurales;1
556;clubs de full contact;0
557;gîtes d'étape;0
558;fermes, gîtes équestres;0
559;associations culturelles, de loisirs;0
560;chirurgiens de la main;0
561;athlétisme (clubs);0
562;planches à voile, surfs, kitesurfs (fabrication, gros);0
563;bateaux de plaisance (construction);1
564;remontées mécaniques, téléphériques (exploitation);0
567;cafés, bars;0
568;résidences étudiantes;1
569;salles de concerts, de spectacles;1
570;médecins : pathologie du sommeil;0
571;sports aériens (clubs);0
572;maisons de retraite médicalisées;1
573;centres commerciaux;0
574;sports d'équipe (clubs);0
576;mécanique marine;1
577;stations météo;1
578;sports nautiques (clubs);0
579;motocross;1
580;médecins : soins palliatifs;0
581;musculation (salles);0
583;centres de loisirs pour enfants;0
584;stades;0
586;supérettes;0
587;centres de vacances pour enfants;0
588;chasse (pratique);0
589;théâtres;0
590;médecins mésothérapeutes;0
591;musicothérapie;0
592;voile (écoles);0
594;cours de chant;0
596;cours de chinois;0
597;paellas à emporter;0
598;cours de français;0
599;parcours aventure;1
600;vol libre (clubs);0
601;cours de guitare;0
602;cours de mathématiques;0
603;cours de piano;0
604;paris sportifs en ligne;0
606;cours de portugais;0
608;cours de russe;0
609;cours de théâtre;0
610;avocats communautaires exerçant sous leur titre d'origine;0
611;cours de violon;0
612;cours d'espagnol;0
613;cours d'italien;0
614;cours d'oenologie;0
616;couscous à emporter;0
618;cours de couture;0
620;associations de gestion et de comptabilité;0
621;dancings;0
623;cours de danse africaine;0
624;permis bateaux;1
627;pianos-bars;0
628;pilates (cours);0
629;deltaplane (clubs);0
631;dîners-spectacles;0
632;électroménager discount;1
633;informatique discount;0
634;formation professionnelle;0
636;DVD, CD d'occasion;0
637;écoles d'architecture;0
638;écoles d'art;0
639;foyers pour jeunes travailleurs;0
642;grands magasins;0
643;écoles d'auxiliaires de puériculture;0
644;gymnases;0
646;cours de danse classique;0
647;cours de danse country;0
648;discount alimentaire;0
649;cours de danse de salon;0
651;cours de danse modern jazz;0
652;cours de danse orientale;0
