Code;Libellé;Centroide_X;Centroide_Y
1001;L'Abergement-Clémenciat;4,925733808;46,15355142
1002;L'Abergement-de-Varey;5,427983814;46,00967033
1004;Ambérieu-en-Bugey;5,372331757;45,96104156
1005;Ambérieux-en-Dombes;4,912149594;45,99614772
1006;Ambléon;5,594539487;45,74989981
1007;Ambronay;5,35779293;46,00574804
1008;Ambutrix;5,332179558;45,936671
1009;Andert-et-Condon;5,657922939;45,78711077
1010;Anglefort;5,79498024;45,90917564
1011;Apremont;5,657929619;46,20592373
1012;Aranc;5,51086716;46,00132872
1013;Arandas;5,498958893;45,89018759
1014;Arbent;5,690420287;46,28363351
1015;Arbignieu;5,652275672;45,72407995
1016;Arbigny;4,960109485;46,47759913
1017;Argis;5,48257604;45,93351404
1019;Armix;5,583013572;45,85449021
1021;Ars-sur-Formans;4,822173994;45,9934774
1022;Artemare;5,689887431;45,86960052
1023;Asnières-sur-Saône;4,883622167;46,38526714
1024;Attignat;5,179836586;46,28601502
1025;Bâgé-la-Ville;4,953242789;46,32353267
1026;Bâgé-le-Châtel;4,929828473;46,30828995
1027;Balan;5,108210115;45,8313181
1028;Baneins;4,901749902;46,1141876
1029;Beaupont;5,260531645;46,42862309
1030;Beauregard;4,756825973;46,00081315
1031;Bellignat;5,635724561;46,2383245
1032;Béligneux;5,140481412;45,85917562
1033;Bellegarde-sur-Valserine;5,832435482;46,10687285
1034;Belley;5,683932347;45,74979515
1035;Belleydoux;5,784995656;46,25332034
1036;Belmont-Luthézieu;5,650625954;45,88535176
1037;Bénonces;5,48305504;45,83816743
1038;Bény;5,282531951;46,319426
1039;Béon;5,753329856;45,85655538
1040;Béréziat;5,040053726;46,36783958
1041;Bettant;5,36600221;45,93768853
1042;Bey;4,846212942;46,21945093
1043;Beynost;4,997385642;45,83914405
1044;Billiat;5,765509755;46,07941375
1045;Birieux;5,037304151;45,95320272
1046;Biziat;4,941171921;46,2264266
1047;Blyes;5,251920163;45,84692098
1049;La Boisse;5,02835961;45,8445732
1050;Boissey;4,998848579;46,37319645
1051;Bolozon;5,470598269;46,19643666
1052;Bouligneux;4,992276025;46,02301158
1053;Bourg-en-Bresse;5,245548275;46,2049191
1054;Bourg-Saint-Christophe;5,143726114;45,88622715
1056;Boyeux-Saint-Jérôme;5,463027565;46,03606601
1057;Boz;4,91359867;46,40569671
1058;Brégnier-Cordon;5,615618157;45,64185211
1059;Brénaz;5,737014078;45,94998674
1060;Brénod;5,614350239;46,0756508
1061;Brens;5,689137809;45,7138242
1062;Bressolles;5,101621614;45,8695106
1063;Brion;5,546761214;46,16827436
1064;Briord;5,485447208;45,77062982
1065;Buellas;5,145166702;46,21072404
1066;La Burbanche;5,545896797;45,85980204
1067;Ceignes;5,49520151;46,12560817
1068;Cerdon;5,475895529;46,07201135
1069;Certines;5,262396755;46,13350197
1071;Cessy;6,07807906;46,31606561
1072;Ceyzériat;5,319635867;46,18347094
1073;Ceyzérieu;5,719141445;45,83355889
1074;Chalamont;5,169492123;46,00752286
1075;Chaleins;4,798798067;46,034129
1076;Chaley;5,537164027;45,95439029
1077;Challes-la-Montagne;5,457528389;46,12235479
1078;Challex;5,971458608;46,17679595
1079;Champagne-en-Valromey;5,692949641;45,93180771
1080;Champdor;5,599666895;46,0195154
1081;Champfromier;5,822202103;46,22052849
1082;Chanay;5,768667342;46,00581523
1083;Chaneins;4,854226722;46,09357816
1084;Chanoz-Châtenay;5,028768374;46,1857677
1085;La Chapelle-du-Châtelard;5,021948099;46,07336264
1087;Charix;5,680875513;46,18571992
1088;Charnoz-sur-Ain;5,221695932;45,87395471
1089;Château-Gaillard;5,307309188;45,97276601
1090;Châtenay;5,20460975;46,02594454
1091;Châtillon-en-Michaille;5,770614342;46,12936448
1092;Châtillon-la-Palud;5,241413639;45,97477702
1093;Châtillon-sur-Chalaronne;4,958043509;46,12307397
1094;Chavannes-sur-Reyssouze;5,006561453;46,43803296
1095;Chavannes-sur-Suran;5,416608804;46,27456943
1096;Chaveyriat;5,056056448;46,19941128
1097;Chavornay;5,724681489;45,88208918
1098;Chazey-Bons;5,684901113;45,79298476
1099;Chazey-sur-Ain;5,254791601;45,8930376
1100;Cheignieu-la-Balme;5,604928193;45,82292564
1101;Chevillard;5,581416419;46,1105771
1102;Chevroux;4,962847996;46,38228866
1103;Chevry;6,047227414;46,28312323
1104;Chézery-Forens;5,872286046;46,22255233
1105;Civrieux;4,886636188;45,92286074
1106;Cize;5,450869613;46,20077985
1107;Cleyzieu;5,432805309;45,90269451
1108;Coligny;5,330493503;46,38672718
1109;Collonges;5,899669643;46,14257409
1110;Colomieu;5,626947425;45,7364842
1111;Conand;5,475306113;45,8840899
1112;Condamine;5,555798137;46,10589526
1113;Condeissiat;5,084593102;46,15369434
1114;Confort;5,832762702;46,15441938
1115;Confrançon;5,057867355;46,27056445
1116;Contrevoz;5,620006758;45,80128702
1117;Conzieu;5,604100777;45,72556937
1118;Corbonod;5,789686558;45,96615147
1119;Corcelles;5,573527196;46,03982721
1121;Corlier;5,496581365;46,03334279
1122;Cormaranche-en-Bugey;5,609158507;45,94407259
1123;Cormoranche-sur-Saône;4,827860868;46,24113194
1124;Cormoz;5,221780269;46,43366094
1125;Corveissiat;5,471622218;46,25102923
1127;Courmangoux;5,356093789;46,32672449
1128;Courtes;5,111113208;46,45693778
1129;Crans;5,195250191;45,96641223
1130;Cras-sur-Reyssouze;5,177796905;46,31308517
1133;Cressin-Rochefort;5,76523766;45,78291109
1134;Crottet;4,878577257;46,28279761
1135;Crozet;5,995522344;46,29135803
1136;Cruzilles-lès-Mépillat;4,875111821;46,22129192
1138;Culoz;5,784375842;45,85626131
1139;Curciat-Dongalon;5,162855921;46,48838959
1140;Curtafond;5,102876825;46,27298079
1141;Cuzieu;5,67622122;45,81976152
1142;Dagneux;5,072926259;45,85350349
1143;Divonne-les-Bains;6,115923801;46,37578209
1144;Dommartin;4,998707689;46,33665623
1145;Dompierre-sur-Veyle;5,216374857;46,06711967
1146;Dompierre-sur-Chalaronne;4,901450571;46,14161513
1147;Domsure;5,293445856;46,42456861
1148;Dortan;5,641762632;46,31395834
1149;Douvres;5,371635605;45,98437658
1150;Drom;5,368210386;46,22001264
1151;Druillat;5,292924874;46,06740818
1152;Échallon;5,732793991;46,22744723
1153;Échenevex;6,019816568;46,31624053
1154;Étrez;5,192851393;46,33821249
1155;Évosges;5,503068822;45,96505227
1156;Faramans;5,124848004;45,91062663
1157;Fareins;4,762316984;46,02122441
1158;Farges;5,900211108;46,16680793
1159;Feillens;4,885634593;46,33628644
1160;Ferney-Voltaire;6,107639388;46,25150233
1162;Flaxieu;5,743558283;45,81128241
1163;Foissiat;5,184709724;46,37851372
1165;Francheleins;4,812879624;46,0737272
1166;Frans;4,780739855;45,99360863
1167;Garnerans;4,82881237;46,2134576
1169;Genouilleux;4,793178999;46,12062779
1170;Béard-Géovreissiat;5,551727341;46,19013593
1171;Géovreisset;5,614139033;46,25216424
1172;Germagnat;5,44984977;46,30572783
1173;Gex;6,046117221;46,34727656
1174;Giron;5,780860709;46,22372448
1175;Gorrevod;4,950710141;46,41487125
1176;Le Grand-Abergement;5,686156471;46,08686394
1177;Grand-Corent;5,433983249;46,20797884
1179;Grièges;4,8466298;46,26369663
1180;Grilly;6,113556139;46,33187246
1181;Groissiat;5,61246282;46,22664322
1182;Groslée;5,572671822;45,72219644
1183;Guéreins;4,782620083;46,10668165
1184;Hautecourt-Romanèche;5,429821881;46,16151743
1185;Hauteville-Lompnes;5,576364515;45,96908848
1186;Hostiaz;5,540471124;45,90545663
1187;Hotonnes;5,702516183;46,03204099
1188;Illiat;4,888199628;46,18642158
1189;Injoux-Génissiat;5,75947847;46,04993147
1190;Innimond;5,57474127;45,79157583
1191;Izenave;5,524589079;46,03770502
1192;Izernore;5,56304774;46,21821565
1193;Izieu;5,639022876;45,65573726
1194;Jassans-Riottier;4,759469248;45,97823809
1195;Jasseron;5,312480512;46,21485225
1196;Jayat;5,114427113;46,36580818
1197;Journans;5,334352632;46,14679669
1198;Joyeux;5,102713041;45,95009315
1199;Jujurieux;5,410934488;46,0499372
1200;Labalme;5,493350428;46,09338402
1202;Lagnieu;5,329489699;45,89185956
1203;Laiz;4,898794934;46,24702637
1204;Lalleyriat;5,718755925;46,14767814
1205;Lancrans;5,840530094;46,13173618
1206;Lantenay;5,54087322;46,0540564
1207;Lapeyrouse;4,981796428;45,98561514
1208;Lavours;5,772699016;45,81097131
1209;Léaz;5,876653582;46,10862066
1210;Lélex;5,928846692;46,28530599
1211;Lent;5,201484307;46,11635026
1212;Lescheroux;5,150979949;46,41095499
1213;Leyment;5,29448673;45,92734615
1214;Leyssard;5,476489978;46,16202256
1215;Lhôpital;5,763862093;46,0241532
1216;Lhuis;5,535846854;45,74461468
1218;Lochieu;5,74189564;45,9299705
1219;Lompnas;5,523095714;45,81057537
1221;Lompnieu;5,660041194;45,96954902
1224;Loyettes;5,217893553;45,79230802
1225;Lurcy;4,780844754;46,06205821
